"id";"tipo";"sector";"territorio";"nombre_canonico";"query_1";"vol_q1";"query_2";"vol_q2";"query_3";"vol_q3";"vol_total";"tengo_landing";"peso_tipo";"score";"notas"
"237";"sectorial-provincial";"transporte-mercancias";"Lugo";"Convenio Transporte de Mercancías por Carretera Lugo";"convenio transporte de mercancías por carretera lugo";"0";"convenio transporte de mercancías por carretera lugo 2026";"0";"tabla salarial transporte de mercancías por carretera lugo";"0";"0";"no";"1";"0";""
"242";"sectorial-provincial";"transporte-mercancias";"Ourense";"Convenio Transporte de Mercancías por Carretera Ourense";"convenio transporte de mercancías por carretera ourense";"0";"convenio transporte de mercancías por carretera ourense 2026";"0";"tabla salarial transporte de mercancías por carretera ourense";"0";"0";"no";"1";"0";""
"236";"sectorial-provincial";"transporte-mercancias";"Lleida";"Convenio Transporte de Mercancías por Carretera Lleida";"convenio transporte de mercancías por carretera lleida";"0";"convenio transporte de mercancías por carretera lleida 2026";"0";"tabla salarial transporte de mercancías por carretera lleida";"0";"0";"no";"1";"0";""
"266";"sectorial-provincial";"comercio-metal";"Álava";"Convenio Comercio del Metal Álava";"convenio comercio del metal álava";"0";"convenio comercio del metal álava 2026";"0";"tabla salarial comercio del metal álava";"0";"0";"no";"1";"0";""
"235";"sectorial-provincial";"transporte-mercancias";"León";"Convenio Transporte de Mercancías por Carretera León";"convenio transporte de mercancías por carretera león";"0";"convenio transporte de mercancías por carretera león 2026";"0";"tabla salarial transporte de mercancías por carretera león";"0";"0";"no";"1";"0";""
"243";"sectorial-provincial";"transporte-mercancias";"Palencia";"Convenio Transporte de Mercancías por Carretera Palencia";"convenio transporte de mercancías por carretera palencia";"0";"convenio transporte de mercancías por carretera palencia 2026";"0";"tabla salarial transporte de mercancías por carretera palencia";"0";"0";"no";"1";"0";""
"257";"sectorial-provincial";"transporte-mercancias";"Zamora";"Convenio Transporte de Mercancías por Carretera Zamora";"convenio transporte de mercancías por carretera zamora";"0";"convenio transporte de mercancías por carretera zamora 2026";"0";"tabla salarial transporte de mercancías por carretera zamora";"0";"0";"no";"1";"0";""
"256";"sectorial-provincial";"transporte-mercancias";"Valladolid";"Convenio Transporte de Mercancías por Carretera Valladolid";"convenio transporte de mercancías por carretera valladolid";"0";"convenio transporte de mercancías por carretera valladolid 2026";"0";"tabla salarial transporte de mercancías por carretera valladolid";"0";"0";"no";"1";"0";""
"258";"sectorial-provincial";"transporte-mercancias";"Zaragoza";"Convenio Transporte de Mercancías por Carretera Zaragoza";"convenio transporte de mercancías por carretera zaragoza";"0";"convenio transporte de mercancías por carretera zaragoza 2026";"0";"tabla salarial transporte de mercancías por carretera zaragoza";"0";"0";"no";"1";"0";""
"260";"sectorial-provincial";"transporte-mercancias";"Melilla";"Convenio Transporte de Mercancías por Carretera Melilla";"convenio transporte de mercancías por carretera melilla";"0";"convenio transporte de mercancías por carretera melilla 2026";"0";"tabla salarial transporte de mercancías por carretera melilla";"0";"0";"no";"1";"0";""
