slug,fecha_solicitud,resultado,intentos,notas
convenios.html,2026-06-14,aceptada,1,Tras merge PR #32 — refresh hub editorial score 1→7
guias.html,2026-06-15,aceptada,1,Tras merge PR #33 — refresh hub editorial score 1→8
plantillas-transparencia-retributiva-2026.html,2026-06-15,aceptada,1,Tras merge PR #34 — refresh hub editorial Kit del trabajador score 2→7
salarios.html,2026-06-12,aceptada,1,Tras merge PR #30 — refresh hub editorial score 1→6
convenio-limpieza-asturias.html,2026-06-12,aceptada,2,Title B aplicado (PR #31) — 1ª aceptada Valladolid+hub salarios; 2ª intento exitoso tras 5min (window deploy Vercel)
convenio-limpieza-edificios-locales.html,2026-06-12,aceptada,2,Pilar limpieza refresh — 1er intento 404 por window deploy Vercel, 2º OK
convenio-hosteleria-valladolid.html,2026-06-12,aceptada,1,BOE remixed inicial
convenio-hosteleria.html,2026-06-17,aceptada,1,Tras merge PR #39 — pilar Hosteleria score 2→7. Confirmado por GSC: Google rastreo la version nueva 17-jun 12:22. Registrado retroactivo el 22-jun pre-apelacion AdSense
