date,pagePath,sessionDefaultChannelGroup,sessions,totalUsers,screenPageViews,averageSessionDuration
20260527,/convenio-hosteleria-valencia.html,Organic Search,11,9,11,123.93079827272727
20260527,/convenio-hosteleria-malaga.html,Organic Search,9,8,11,252.58413377777777
20260527,/convenio-limpieza-zaragoza.html,Organic Search,9,8,8,158.51220455555554
20260527,/convenio-hosteleria-baleares.html,Organic Search,6,6,6,0
20260527,/convenio-hosteleria-madrid.html,Organic Search,6,5,5,315.71207383333336
20260527,/convenio-limpieza-asturias.html,Organic Search,6,6,8,392.8013535
20260527,/convenio-limpieza-barcelona.html,Organic Search,6,6,6,41.372866666666667
20260527,/convenio-limpieza-bizkaia.html,Organic Search,6,6,5,106.75801433333334
20260527,/convenio-limpieza-edificios-locales.html,Organic Search,6,6,6,273.61926066666666
20260527,/,Organic Search,5,5,6,200.791664
20260527,/convenio-hosteleria-bizkaia.html,Organic Search,5,4,6,482.78974099999994
20260527,/convenio-hosteleria-tarragona.html,Organic Search,5,5,4,244.54805259999998
20260527,/convenio-limpieza-malaga.html,Organic Search,5,4,6,251.867515
20260527,/,Unassigned,4,4,2,105.707059
20260527,/convenio-hosteleria-madrid.html,Unassigned,4,3,3,29.2852375
20260527,/convenio-oficinas-valencia.html,Organic Search,4,4,3,82.446821
20260527,/convenio-construccion-bizkaia.html,Organic Search,3,2,2,2.0089296666666665
20260527,/convenio-hosteleria-baleares.html,Unassigned,3,3,0,0
20260527,/convenio-hosteleria-barcelona.html,Unassigned,3,3,0,0
20260527,/convenio-hosteleria-girona.html,Organic Search,3,3,3,29.643366333333333
20260527,/convenio-hosteleria-maresme.html,Organic Search,3,3,4,209.047984
20260527,/convenio-hosteleria-tarragona.html,Direct,3,3,5,858.40627399999994
20260527,/convenio-limpieza-asturias.html,Unassigned,3,3,0,0
20260527,/convenio-limpieza-barcelona.html,Unassigned,3,3,0,0.00025733333333333332
20260527,/convenio-limpieza-edificios-locales.html,Unassigned,3,3,1,0
20260527,/convenio-limpieza-valencia.html,Organic Search,3,3,4,870.740045
20260527,/convenio-hosteleria-baleares.html,Direct,2,2,1,0
20260527,/convenio-hosteleria-barcelona.html,Direct,2,1,4,156.6307825
20260527,/convenio-hosteleria-maresme.html,Unassigned,2,2,0,0
20260527,/convenio-hosteleria-sevilla.html,Unassigned,2,2,1,3.582581
20260527,/convenio-hosteleria-tarragona.html,Unassigned,2,2,2,2.538088
20260527,/convenio-hosteleria-valencia.html,Direct,2,1,6,844.134595
20260527,/convenio-hosteleria.html,Organic Search,2,1,1,207.9557455
20260527,/convenio-limpieza-bizkaia.html,Unassigned,2,2,1,580.292763
20260527,/convenio-limpieza-murcia.html,Organic Search,2,2,2,64.777579
20260527,/convenio-oficinas-valencia.html,Unassigned,2,2,0,0.025687
20260527,/ley-transparencia-salarial-2026.html,Direct,2,2,2,0
20260527,/salario-minimo-interprofesional-2026.html,Unassigned,2,2,1,0
20260527,/,Paid Search,1,1,1,0
20260527,/convenio-hosteleria-barcelona.html,Organic Search,1,1,1,237.64282
20260527,/convenio-hosteleria-bizkaia.html,Unassigned,1,1,1,0
20260527,/convenio-hosteleria-cadiz.html,Organic Search,1,1,1,362.856239
20260527,/convenio-hosteleria-cantabria.html,Organic Search,1,1,0,2674.429588
20260527,/convenio-hosteleria-girona.html,Direct,1,1,1,0
20260527,/convenio-hosteleria-granada.html,Organic Search,1,1,1,585.341571
20260527,/convenio-hosteleria-madrid.html,Direct,1,1,1,0
20260527,/convenio-hosteleria-sevilla.html,Direct,1,1,2,1132.469748
20260527,/convenio-hosteleria-sevilla.html,Organic Search,1,1,2,168.872047
20260527,/convenio-hosteleria-sevilla.html/,Organic Search,1,1,1,856.798296
20260527,/convenio-hosteleria-valencia.html,Unassigned,1,1,0,0
