date,pagePath,sessionDefaultChannelGroup,sessions,totalUsers,screenPageViews,averageSessionDuration
20260613,/convenio-hosteleria-baleares.html,Organic Search,13,10,11,172.14495246153848
20260613,/convenio-limpieza-edificios-locales.html,Organic Search,5,5,6,23.0108598
20260613,/convenio-limpieza-barcelona.html,Organic Search,4,4,4,92.9144405
20260613,/convenio-limpieza-madrid.html,Organic Search,4,4,4,26.53942825
20260613,/convenio-hosteleria-malaga.html,Organic Search,3,3,3,104.949026
20260613,/convenio-hosteleria-valencia.html,Organic Search,3,3,3,242.74054033333334
20260613,/convenio-hosteleria-zaragoza.html,Organic Search,3,3,4,77.108730666666659
20260613,/convenio-metal-bizkaia.html,Organic Search,3,2,3,0
20260613,/,Organic Search,2,2,2,37.836243
20260613,/convenio-hosteleria-bizkaia.html,Organic Search,2,2,3,18.4580595
20260613,/convenio-limpieza-valencia.html,Organic Search,2,2,2,551.957349
20260613,/plantilla-reclamar-trabajo-igual-valor.html,Organic Search,2,1,1,0
20260613,/construccion-estatal-suelo-salarial.html,Organic Search,1,1,1,1.75194
20260613,/convenio-hosteleria-barcelona.html,Organic Search,1,1,1,0
20260613,/convenio-hosteleria-madrid.html,Direct,1,1,1,0
20260613,/convenio-hosteleria-madrid.html,Organic Search,1,1,1,66.748552
20260613,/convenio-hosteleria-maresme.html,Organic Search,1,1,1,0
20260613,/convenio-hosteleria-sevilla.html,Organic Search,1,1,1,292.606885
20260613,/convenio-hosteleria-tarragona.html,Organic Search,1,1,1,637.75607
20260613,/convenio-hosteleria-valencia.html,Direct,1,1,1,0
20260613,/convenio-limpieza-bizkaia.html,Organic Search,1,1,1,0
20260613,/convenio-limpieza-malaga.html,Organic Search,1,1,1,0
20260613,/convenio-limpieza-murcia.html,Direct,1,1,1,0
20260613,/convenio-limpieza-murcia.html,Organic Search,1,1,1,0
20260613,/convenio-limpieza-zaragoza.html,Organic Search,1,1,1,531.635423
20260613,/convenios.html,Organic Search,1,1,1,9.754206
20260613,/salarios.html,Direct,1,1,2,580.560082
20260613,/tramos-irpf-2026.html,Organic Search,1,1,1,15.808689
