date,pagePath,sessionDefaultChannelGroup,sessions,totalUsers,screenPageViews,averageSessionDuration
20260620,/convenio-hosteleria-baleares.html,Organic Search,12,11,11,44.86747775
20260620,/convenio-hosteleria-valencia.html,Organic Search,7,6,7,151.54748914285713
20260620,/,Direct,6,6,6,38.518730666666663
20260620,/convenio-hosteleria-barcelona.html,Organic Search,6,3,8,285.33466483333331
20260620,/convenio-limpieza-barcelona.html,Organic Search,6,6,7,199.16117833333331
20260620,/convenio-limpieza-madrid.html,Organic Search,6,6,6,1.5271141666666666
20260620,/convenio-limpieza-edificios-locales.html,Organic Search,5,4,5,148.924269
20260620,/convenio-hosteleria-zaragoza.html,Organic Search,4,4,4,26.1073
20260620,/convenio-hosteleria-bizkaia.html,Organic Search,3,2,3,0
20260620,/convenio-hosteleria-malaga.html,Organic Search,3,3,4,140.770089
20260620,/convenio-hosteleria-sevilla.html,Organic Search,3,2,4,71.831334
20260620,/plantilla-reclamar-atrasos-convenio-salarial.html,Organic Search,3,1,1,0
20260620,/convenio-hosteleria-madrid.html,Direct,2,2,2,13.2124565
20260620,/convenio-hosteleria-maresme.html,Organic Search,2,2,2,77.9939885
20260620,/convenio-limpieza-malaga.html,Organic Search,2,2,3,184.9859105
20260620,/,Organic Search,1,1,1,85.285301
20260620,/convenio-hosteleria-baleares.html,Direct,1,1,2,94.805632
20260620,/convenio-hosteleria-girona.html,Organic Search,1,1,1,79.757768
20260620,/convenio-hosteleria-granada.html,Referral,1,1,1,0
20260620,/convenio-hosteleria-maresme.html,Direct,1,1,2,874.760019
20260620,/convenio-limpieza-asturias.html,Organic Search,1,1,1,41.547163
20260620,/convenio-limpieza-bizkaia.html,Organic Search,1,1,1,0
20260620,/convenio-limpieza-madrid.html,Direct,1,1,1,0
20260620,/convenio-limpieza-murcia.html,Organic Search,1,1,1,23.440379
20260620,/convenio-limpieza-sevilla.html,Referral,1,1,1,644.061406
20260620,/convenio-limpieza-valencia.html,Organic Search,1,1,1,3.129375
20260620,/convenios.html,Direct,1,1,1,6.006712
20260620,/salarios.html,Direct,1,1,1,0
