date,pagePath,sessionDefaultChannelGroup,sessions,totalUsers,screenPageViews,averageSessionDuration
20260614,/convenio-limpieza-edificios-locales.html,Organic Search,11,11,14,151.85210372727272
20260614,/convenio-limpieza-bizkaia.html,Organic Search,7,6,6,132.84194542857142
20260614,/convenio-hosteleria-baleares.html,Organic Search,6,5,4,132.79127733333334
20260614,/,Organic Search,5,5,5,101.1298668
20260614,/convenio-limpieza-zaragoza.html,Organic Search,5,3,4,110.7701666
20260614,/convenio-hosteleria-barcelona.html,Organic Search,4,1,5,124.8874915
20260614,/convenio-hosteleria-zaragoza.html,Organic Search,4,4,4,251.2898205
20260614,/convenio-hosteleria-bizkaia.html,Organic Search,3,3,3,30.079186666666669
20260614,/convenio-hosteleria-valencia.html,Organic Search,3,3,3,0
20260614,/convenio-limpieza-asturias.html,Organic Search,3,3,5,205.92664233333335
20260614,/convenio-hosteleria-girona.html,Direct,1,1,1,0
20260614,/convenio-hosteleria-girona.html,Organic Search,1,1,1,0
20260614,/convenio-hosteleria-madrid.html,Organic Search,1,1,1,52.501901
20260614,/convenio-hosteleria-malaga.html,Organic Search,1,1,1,317.644121
20260614,/convenio-hosteleria-sevilla.html,Organic Search,1,1,1,0
20260614,/convenio-hosteleria-tarragona.html,Organic Search,1,1,1,77.804556
20260614,/convenio-limpieza-laspalmas.html,Organic Search,1,1,0,0
20260614,/convenio-limpieza-madrid.html,Organic Search,1,1,1,6.527357
20260614,/convenio-limpieza-malaga.html,Organic Search,1,1,1,23.994986
20260614,/convenio-limpieza-murcia.html,Organic Search,1,1,1,129.258006
20260614,/convenio-limpieza-sevilla.html,Organic Search,1,1,1,195.99187
20260614,/convenio-limpieza-valencia.html,Direct,1,1,1,0
20260614,/convenio-metal-bizkaia.html,Direct,1,1,1,0
20260614,/convenio-metal-bizkaia.html,Organic Search,1,1,2,1221.146031
20260614,/ley-transparencia-salarial-2026.html,Direct,1,1,0,0
