date,pagePath,sessionDefaultChannelGroup,sessions,totalUsers,screenPageViews,averageSessionDuration
20260610,/convenio-limpieza-madrid.html,Organic Search,13,12,15,281.21106223076924
20260610,/convenio-limpieza-zaragoza.html,Organic Search,13,12,13,61.989438923076925
20260610,/convenio-hosteleria-barcelona.html,Organic Search,12,5,12,103.93385566666666
20260610,/convenio-hosteleria-zaragoza.html,Organic Search,12,11,11,92.60962516666666
20260610,/convenio-hosteleria-valencia.html,Organic Search,10,9,10,221.52961369999997
20260610,/convenio-limpieza-edificios-locales.html,Organic Search,10,9,11,112.0073914
20260610,/convenio-hosteleria-madrid.html,Organic Search,8,7,8,78.40561225
20260610,/convenio-limpieza-bizkaia.html,Organic Search,8,8,11,191.4689015
20260610,/convenio-hosteleria-baleares.html,Organic Search,7,7,7,84.7657887142857
20260610,/convenio-limpieza-barcelona.html,Organic Search,6,5,5,82.11474783333334
20260610,/convenio-limpieza-catalunya.html,Organic Search,6,5,6,390.19813266666665
20260610,/convenio-limpieza-valencia.html,Organic Search,6,6,6,200.253588
20260610,/convenio-metal-bizkaia.html,Organic Search,6,6,6,139.50395166666667
20260610,/convenio-hosteleria-tarragona.html,Organic Search,5,3,5,3.6147984
20260610,/convenio-limpieza-malaga.html,Organic Search,5,4,4,16.579169999999998
20260610,/convenio-oficinas-valencia.html,Organic Search,5,4,4,133.666934
20260610,/,Organic Search,4,4,4,4.56504825
20260610,/convenio-construccion-bizkaia.html,Organic Search,4,3,3,68.8104505
20260610,/convenio-hosteleria-bizkaia.html,Organic Search,4,4,4,118.0937355
20260610,/ley-transparencia-salarial-2026.html,Organic Search,4,2,3,28.8646035
20260610,/convenio-hosteleria-maresme.html,Organic Search,3,2,4,673.94997633333332
20260610,/convenio-limpieza-asturias.html,Organic Search,3,2,3,0
20260610,/convenio-hosteleria-baleares.html,Direct,2,2,2,0
20260610,/convenio-hosteleria-girona.html,Organic Search,2,2,2,356.8584305
20260610,/convenio-hosteleria-granada.html,Organic Search,2,2,2,134.8807895
20260610,/convenio-limpieza-catalunya.html,Direct,2,1,1,0
20260610,/convenio-limpieza-murcia.html,Organic Search,2,2,2,61.5543465
20260610,/construccion-estatal-suelo-salarial.html,Organic Search,1,1,1,30.583773
20260610,/convenio-hosteleria-barcelona.html,Direct,1,1,1,0
20260610,/convenio-hosteleria-cadiz.html,Organic Search,1,1,1,61.547012
20260610,/convenio-hosteleria-madrid.html,Direct,1,1,1,0
20260610,/convenio-hosteleria-maresme.html,Direct,1,1,1,0
20260610,/convenio-hosteleria-sevilla.html,Organic Search,1,1,1,0
20260610,/convenio-hosteleria-valencia.html,Direct,1,1,1,0
20260610,/convenio-hosteleria-zaragoza.html,Direct,1,1,1,265.687372
20260610,/convenio-limpieza-asturias.html,Direct,1,1,1,0
20260610,/convenio-limpieza-bizkaia.html,Direct,1,1,1,0
20260610,/convenio-limpieza-madrid.html,Direct,1,1,1,0
20260610,/convenio-limpieza-murcia.html,Direct,1,1,1,0
20260610,/pedir-banda-salarial-empresa-2026.html,Organic Search,1,1,1,726.993934
20260610,/plantillas-transparencia-retributiva-2026.html,Organic Search,1,1,1,139.271337
20260610,/rangos-salariales-empresa-transparencia-2026.html,Direct,1,1,1,0
20260610,/reclamar-diferencias-salariales-convenio.html,Organic Search,1,1,1,246.88097
20260610,/salario-minimo-interprofesional-2026.html,Organic Search,1,1,1,51.442912
20260610,/tramos-irpf-2026.html,Direct,1,1,1,30.787475
