date,pagePath,sessionDefaultChannelGroup,sessions,totalUsers,screenPageViews,averageSessionDuration
20260612,/convenio-hosteleria-maresme.html,Direct,9,3,16,602.32863577777778
20260612,/convenio-limpieza-edificios-locales.html,Organic Search,9,8,9,47.837470777777781
20260612,/convenio-hosteleria-valencia.html,Organic Search,7,6,5,222.89761014285713
20260612,/convenio-limpieza-valencia.html,Organic Search,7,7,7,621.08253071428578
20260612,/convenio-limpieza-zaragoza.html,Organic Search,7,7,8,23.516140571428572
20260612,/convenio-hosteleria-baleares.html,Organic Search,6,6,6,21.042351166666666
20260612,/convenio-hosteleria-barcelona.html,Organic Search,6,4,6,215.48737116666666
20260612,/convenio-limpieza-bizkaia.html,Organic Search,6,4,6,0.983816
20260612,/convenio-hosteleria-zaragoza.html,Organic Search,5,5,7,98.3073332
20260612,/convenio-hosteleria-girona.html,Organic Search,4,4,4,33.420819
20260612,/convenio-hosteleria-malaga.html,Organic Search,4,4,4,61.11163025
20260612,/convenio-limpieza-asturias.html,Organic Search,4,4,4,11.8139965
20260612,/convenio-limpieza-malaga.html,Organic Search,4,4,5,113.721412
20260612,/,Direct,3,2,5,133.67909833333331
20260612,/convenio-hosteleria-cadiz.html,Organic Search,3,3,3,28.940949333333332
20260612,/convenio-hosteleria-tarragona.html,Organic Search,3,3,3,68.65814233333333
20260612,/convenio-limpieza-barcelona.html,Organic Search,3,3,3,463.18848833333328
20260612,/convenio-limpieza-madrid.html,Organic Search,3,3,4,152.61487566666668
20260612,/convenio-oficinas-valencia.html,Direct,3,2,4,590.825152
20260612,/ley-transparencia-salarial-2026.html,Organic Search,3,3,2,187.96663233333334
20260612,/tramos-irpf-2026.html,Organic Search,3,3,3,299.9306913333333
20260612,/,Organic Search,2,2,2,58.172256
20260612,/convenio-hosteleria-bizkaia.html,Direct,2,2,2,8.659651
20260612,/convenio-hosteleria-madrid.html,Organic Search,2,2,2,603.9102565
20260612,/convenio-hosteleria-sevilla.html,Organic Search,2,2,2,202.302725
20260612,/convenio-hosteleria-zaragoza.html,Direct,2,2,2,26.5254065
20260612,/convenio-limpieza-edificios-locales.html,Direct,2,2,2,13.0660085
20260612,/convenio-limpieza-laspalmas.html,Organic Search,2,2,2,0
20260612,/convenio-limpieza-murcia.html,Organic Search,2,2,2,59.4789815
20260612,/convenio-metal-bizkaia.html,Organic Search,2,2,2,0
20260612,/salarios.html,Direct,2,1,4,806.9988735
20260612,/convenio-hosteleria-baleares.html,Direct,1,1,1,0
20260612,/convenio-hosteleria-cantabria.html,Organic Search,1,1,1,31.133343
20260612,/convenio-hosteleria-maresme.html,Organic Search,1,1,1,0
20260612,/convenio-hosteleria-tarragona.html,Direct,1,1,1,0
20260612,/convenio-limpieza-sevilla.html,Organic Search,1,1,1,167.661014
20260612,/convenio-oficinas-valencia.html,Organic Search,1,1,1,47.937652
20260612,/convenios.html,Direct,1,1,1,20.102264
20260612,/convenios.html,Organic Search,1,1,1,4.435072
20260612,/plantilla-reclamar-atrasos-convenio-salarial.html,Organic Search,1,1,1,0
20260612,/plantillas-transparencia-retributiva-2026.html,Direct,1,1,1,69.419001
20260612,/salario-minimo-interprofesional-2026.html,Organic Search,1,1,2,43.003748
