date,pagePath,sessionDefaultChannelGroup,sessions,totalUsers,screenPageViews,averageSessionDuration
20260621,/convenio-hosteleria-baleares.html,Organic Search,8,8,9,197.7206675
20260621,/convenio-hosteleria-valencia.html,Organic Search,5,4,5,0
20260621,/convenio-limpieza-edificios-locales.html,Organic Search,5,5,7,0
20260621,/convenio-limpieza-barcelona.html,Organic Search,4,4,4,187.129911
20260621,/convenio-hosteleria-barcelona.html,Organic Search,3,2,11,2585.9069353333334
20260621,/convenio-hosteleria-malaga.html,Organic Search,3,3,3,200.766346
20260621,/convenio-hosteleria-maresme.html,Organic Search,3,3,3,32.776704666666667
20260621,/convenio-hosteleria-tarragona.html,Organic Search,3,3,4,50.393051000000007
20260621,/convenio-limpieza-valencia.html,Organic Search,3,3,3,0
20260621,/convenio-hosteleria-baleares.html,Direct,2,2,2,1.160864
20260621,/convenio-hosteleria-baleares.html,Unassigned,2,2,1,2.756408
20260621,/convenio-hosteleria-girona.html,Organic Search,2,2,2,0
20260621,/convenio-hosteleria-girona.html,Unassigned,2,2,0,0
20260621,/convenio-hosteleria-valencia.html,Unassigned,2,2,0,0
20260621,/convenio-limpieza-laspalmas.html,Organic Search,2,2,2,0
20260621,/convenio-limpieza-sevilla.html,Organic Search,2,2,2,85.9464145
20260621,/convenio-limpieza-zaragoza.html,Organic Search,2,2,2,16.722168
20260621,/convenio-metal-bizkaia.html,Organic Search,2,2,2,0
20260621,/convenio-oficinas-valencia.html,Organic Search,2,2,2,0
20260621,/,Direct,1,1,1,4.961907
20260621,/,Organic Search,1,1,1,430.34204
20260621,/,Unassigned,1,1,1,0
20260621,/construccion-estatal-suelo-salarial.html,Organic Search,1,1,1,894.32693
20260621,/convenio-hosteleria-barcelona.html,Unassigned,1,1,0,0
20260621,/convenio-hosteleria-madrid.html,Organic Search,1,1,2,693.010278
20260621,/convenio-hosteleria-malaga.html,Unassigned,1,1,0,364.778372
20260621,/convenio-hosteleria-sevilla.html,Organic Search,1,1,1,0
20260621,/convenio-hosteleria-valencia.html,Direct,1,1,1,0
20260621,/convenio-hosteleria-zaragoza.html,Direct,1,1,2,0
20260621,/convenio-hosteleria-zaragoza.html,Organic Search,1,1,1,534.397974
20260621,/convenio-limpieza-bizkaia.html,Organic Search,1,1,1,0
20260621,/convenio-limpieza-edificios-locales.html,Direct,1,1,1,0
20260621,/convenio-limpieza-edificios-locales.html,Unassigned,1,1,0,0
20260621,/convenio-limpieza-madrid.html,Organic Search,1,1,1,0
20260621,/convenio-limpieza-malaga.html,Direct,1,1,1,0
20260621,/convenio-limpieza-malaga.html,Unassigned,1,1,0,0
20260621,/convenio-limpieza-valencia.html,Unassigned,1,1,0,0
20260621,/convenio-metal-bizkaia.html,Unassigned,1,1,0,0
20260621,/convenio-oficinas-valencia.html,Unassigned,1,1,0,0
