date,pagePath,sessionDefaultChannelGroup,sessions,totalUsers,screenPageViews,averageSessionDuration
20260529,/convenio-limpieza-barcelona.html,Organic Search,10,10,9,118.99763150000001
20260529,/convenio-limpieza-bizkaia.html,Organic Search,10,10,10,4.351074
20260529,/convenio-limpieza-zaragoza.html,Organic Search,10,10,10,189.1182397
20260529,/convenio-hosteleria-madrid.html,Organic Search,8,6,6,27.900855375
20260529,/convenio-limpieza-asturias.html,Organic Search,8,6,8,46.561725125
20260529,/convenio-hosteleria-valencia.html,Organic Search,7,7,9,74.74130814285715
20260529,/,Organic Search,5,5,4,13.220159
20260529,/convenio-hosteleria-valencia.html,Unassigned,5,5,0,0
20260529,/convenio-limpieza-barcelona.html,Unassigned,5,5,0,65.1270178
20260529,/convenio-limpieza-bizkaia.html,Unassigned,5,5,0,6.5715348
20260529,/,Unassigned,3,3,2,167.09722833333333
20260529,/convenio-hosteleria-sevilla.html,Organic Search,3,2,3,87.162969666666655
20260529,/convenio-limpieza-malaga.html,Organic Search,3,3,3,0
20260529,/convenio-hosteleria-baleares.html,Organic Search,2,2,2,128.960047
20260529,/convenio-hosteleria-zaragoza.html,Organic Search,2,2,2,0
20260529,/ley-transparencia-salarial-2026.html,Organic Search,2,2,2,162.799567
20260529,/reclamar-diferencias-salariales-convenio.html,Unassigned,2,2,2,124.841332
20260529,/construccion-estatal-suelo-salarial.html,Organic Search,1,1,1,0
20260529,/convenio-hosteleria-baleares.html,Unassigned,1,1,0,0
20260529,/convenio-hosteleria-barcelona.html,Organic Search,1,1,1,110.633505
20260529,/convenio-hosteleria-barcelona.html,Unassigned,1,1,0,0
20260529,/convenio-hosteleria-bizkaia.html,Unassigned,1,1,0,0
20260529,/convenio-hosteleria-madrid.html,Direct,1,1,1,0
20260529,/convenio-hosteleria-madrid.html,Unassigned,1,1,0,0
20260529,/convenio-hosteleria-malaga.html,Organic Search,1,1,1,99.533865
20260529,/convenio-hosteleria-tarragona.html,Organic Search,1,1,1,277.71799
20260529,/convenio-hosteleria-valladolid.html,Organic Search,1,1,1,0
20260529,/convenio-hosteleria-valladolid.html,Unassigned,1,1,0,0
20260529,/convenio-hosteleria-zaragoza.html,Unassigned,1,1,0,0
20260529,/convenio-limpieza-asturias.html,Unassigned,1,1,0,0
20260529,/convenio-limpieza-catalunya.html,Unassigned,1,1,1,0
20260529,/convenio-limpieza-edificios-locales.html,Direct,1,1,1,0
20260529,/convenio-limpieza-edificios-locales.html,Organic Search,1,1,1,0
20260529,/convenio-limpieza-madrid.html,Organic Search,1,1,1,0
20260529,/convenio-limpieza-madrid.html,Unassigned,1,1,0,0
20260529,/convenio-limpieza-malaga.html,Unassigned,1,1,0,0
20260529,/convenio-limpieza-murcia.html,Organic Search,1,1,1,0
20260529,/convenio-limpieza-sevilla.html,Organic Search,1,1,1,672.301006
20260529,/convenio-limpieza-valencia.html,Direct,1,1,1,0
20260529,/convenio-limpieza-valencia.html,Organic Search,1,1,1,67.501505
20260529,/convenio-limpieza-zaragoza.html,Unassigned,1,1,0,0
20260529,/convenio-oficinas-valencia.html,Unassigned,1,1,0,0
20260529,/ley-transparencia-salarial-2026.html,Direct,1,1,0,0
20260529,/ley-transparencia-salarial-2026.html,Unassigned,1,1,0,697.147819
20260529,/pedir-banda-salarial-empresa-2026.html,Organic Search,1,1,2,185.815494
20260529,/pedir-banda-salarial-empresa-2026.html,Unassigned,1,1,0,0
20260529,/que-es-un-salario-justo.html,Organic Search,1,1,1,0
20260529,/que-es-un-salario-justo.html,Unassigned,1,1,0,0
20260529,/reclamar-diferencias-salariales-convenio.html,Organic Search,1,1,0,1258.297848
20260529,/salario-minimo-interprofesional-2026.html,Organic Search,1,1,1,205.64712
20260529,/tramos-irpf-2026.html,Organic Search,1,1,1,455.933283
