date,pagePath,sessionDefaultChannelGroup,sessions,totalUsers,screenPageViews,averageSessionDuration
20260618,/convenio-limpieza-edificios-locales.html,Organic Search,23,23,26,108.4460086521739
20260618,/convenio-hosteleria-baleares.html,Organic Search,12,12,12,17.298721333333333
20260618,/convenio-limpieza-bizkaia.html,Organic Search,12,11,13,368.8698485
20260618,/convenio-hosteleria-barcelona.html,Organic Search,10,5,10,82.5647656
20260618,/convenio-hosteleria-bizkaia.html,Organic Search,10,8,11,126.05093710000001
20260618,/convenio-limpieza-barcelona.html,Organic Search,9,9,9,193.87792955555557
20260618,/convenio-limpieza-madrid.html,Organic Search,9,8,9,64.022033444444446
20260618,/convenio-limpieza-valencia.html,Organic Search,8,6,7,28.095614125
20260618,/convenio-limpieza-murcia.html,Organic Search,7,6,7,65.338544428571439
20260618,/convenio-hosteleria-madrid.html,Organic Search,6,5,6,57.905100000000004
20260618,/convenio-limpieza-edificios-locales.html,Direct,6,6,6,76.5783555
20260618,/convenio-metal-bizkaia.html,Organic Search,6,5,5,88.962597833333334
20260618,/,Direct,5,5,11,39.4282166
20260618,/,Organic Search,5,5,6,66.212153
20260618,/convenio-hosteleria-tarragona.html,Organic Search,5,4,5,78.0655348
20260618,/convenio-hosteleria-valencia.html,Organic Search,5,4,5,156.84347580000002
20260618,/convenio-limpieza-malaga.html,Organic Search,5,5,4,34.210094600000005
20260618,/convenio-limpieza-bizkaia.html,Direct,4,4,5,131.69079125
20260618,/convenio-limpieza-catalunya.html,Organic Search,4,3,3,39.31047925
20260618,/convenio-limpieza-malaga.html,Direct,4,4,5,2.020145
20260618,/convenio-limpieza-zaragoza.html,Organic Search,4,3,3,4.52706475
20260618,/convenios.html,Direct,4,4,4,3.95666125
20260618,/convenio-hosteleria-granada.html,Organic Search,3,3,8,1066.0583516666668
20260618,/convenio-limpieza-asturias.html,Organic Search,3,3,3,128.609476
20260618,/convenio-oficinas-valencia.html,Organic Search,3,3,2,34.233134666666665
20260618,/ley-transparencia-salarial-2026.html,Organic Search,3,2,2,6.4019183333333336
20260618,/plantilla-reclamar-atrasos-convenio-salarial.html,Organic Search,3,3,3,43.414579666666668
20260618,/convenio-hosteleria-barcelona.html,Direct,2,2,3,2.515114
20260618,/convenio-hosteleria-madrid.html,Direct,2,2,3,2.6694655
20260618,/convenio-hosteleria-malaga.html,Organic Search,2,2,2,827.692307
20260618,/convenio-hosteleria-valencia.html,Direct,2,2,3,2.6707915
20260618,/convenio-hosteleria.html,Direct,2,2,3,2.7152145
20260618,/convenio-limpieza-asturias.html,Direct,2,2,3,9.0832565
20260618,/plantilla-solicitar-informacion-salarial-rrhh.html,Organic Search,2,1,1,0
20260618,/salario-minimo-interprofesional-2026.html,Organic Search,2,2,2,33.2084055
20260618,/aviso-legal.html,Direct,1,1,2,5.255684
20260618,/aviso-legal.html,Organic Search,1,1,1,5.478938
20260618,/construccion-estatal-suelo-salarial.html,Direct,1,1,2,5.436533
20260618,/construccion-estatal-suelo-salarial.html,Organic Search,1,1,1,2.420785
20260618,/contacto.html,Direct,1,1,2,5.233322
20260618,/convenio-hosteleria-baleares.html,Direct,1,1,1,0
20260618,/convenio-hosteleria-girona.html,Direct,1,1,1,5.075823
20260618,/convenio-hosteleria-girona.html,Organic Search,1,1,2,12.208131
20260618,/convenio-hosteleria-malaga.html,Direct,1,1,1,0
20260618,/convenio-hosteleria-maresme.html,Direct,1,1,2,4.972476
20260618,/convenio-hosteleria-sevilla.html,Direct,1,1,1,2.05796
20260618,/convenio-hosteleria-tarragona.html,Direct,1,1,2,5.491579
20260618,/convenio-hosteleria-zaragoza.html,Organic Search,1,1,1,20.182553
20260618,/convenio-limpieza-barcelona.html,Direct,1,1,2,5.07248
20260618,/convenio-limpieza-laspalmas.html,Direct,1,1,2,5.398378
20260618,/convenio-limpieza-madrid.html,Direct,1,1,2,5.070971
20260618,/convenio-limpieza-murcia.html,Direct,1,1,2,5.505537
20260618,/convenio-limpieza-sevilla.html,Direct,1,1,2,5.396413
20260618,/convenio-limpieza-sevilla.html,Organic Search,1,1,1,60.518654
20260618,/convenio-limpieza-valencia.html,Direct,1,1,2,5.110446
20260618,/convenio-limpieza-zaragoza.html,Direct,1,1,2,6.09977
20260618,/convenio-oficinas-valencia.html,Direct,1,1,2,6.891649
20260618,/denunciar-brecha-salarial-guia-practica-2026.html,Direct,1,1,2,5.445248
20260618,/en/,Direct,1,1,1,4.330928
20260618,/en/index.html,Direct,1,1,2,5.525036
20260618,/guias.html,Direct,1,1,2,9.910598
20260618,/lee-tu-nomina-2026.html,Direct,1,1,1,5.051771
20260618,/pedir-banda-salarial-empresa-2026.html,Organic Search,1,1,1,907.134703
20260618,/plantilla-reclamar-igualdad-salarial-no-discriminacion.html,Organic Search,1,1,1,85.999997
20260618,/plantilla-reclamar-trabajo-igual-valor.html,Organic Search,1,1,1,0
20260618,/reclamar-diferencias-salariales-convenio.html,Organic Search,1,1,1,42.3232
20260618,/sobre.html,Organic Search,1,1,1,56.906218
