date,pagePath,sessionDefaultChannelGroup,sessions,totalUsers,screenPageViews,averageSessionDuration
20260531,/convenio-hosteleria-valencia.html,Organic Search,4,4,4,97.8034315
20260531,/,Organic Search,3,2,0,103.72088933333333
20260531,/,Unassigned,3,3,5,224.29227066666667
20260531,/convenio-hosteleria-barcelona.html,Organic Search,3,3,4,212.90700066666668
20260531,/convenio-hosteleria-tarragona.html,Unassigned,3,2,3,212.92423399999998
20260531,/convenio-hosteleria-sevilla.html,Unassigned,2,2,1,2.571036
20260531,/convenio-hosteleria-tarragona.html,Organic Search,2,2,3,110.0378455
20260531,/convenio-hosteleria-valencia.html,Unassigned,2,2,0,0
20260531,/convenio-hosteleria-zaragoza.html,Organic Search,2,2,2,126.2265635
20260531,/convenio-limpieza-barcelona.html,Organic Search,2,2,2,103.7666545
20260531,/convenio-limpieza-edificios-locales.html,Organic Search,2,2,2,0
20260531,/convenio-limpieza-malaga.html,Organic Search,2,2,2,32.1081945
20260531,/convenio-limpieza-valencia.html,Organic Search,2,2,2,0
20260531,/,Cross-network,1,1,1,0
20260531,/,Paid Search,1,1,1,0
20260531,/convenio-hosteleria-baleares.html,Organic Search,1,1,1,0
20260531,/convenio-hosteleria-bizkaia.html,Direct,1,1,1,0
20260531,/convenio-hosteleria-bizkaia.html,Organic Search,1,1,1,0
20260531,/convenio-hosteleria-bizkaia.html,Unassigned,1,1,0,0
20260531,/convenio-hosteleria-granada.html,Organic Search,1,1,1,350.47816
20260531,/convenio-hosteleria-madrid.html,Direct,1,1,1,2.871658
20260531,/convenio-hosteleria-madrid.html,Organic Search,1,1,1,6.460955
20260531,/convenio-hosteleria-sevilla.html,Direct,1,1,1,0
20260531,/convenio-hosteleria-sevilla.html,Organic Search,1,1,1,0
20260531,/convenio-hosteleria-zaragoza.html,Unassigned,1,1,2,98.409129
20260531,/convenio-limpieza-asturias.html,Organic Search,1,1,1,0
20260531,/convenio-limpieza-bizkaia.html,Organic Search,1,1,1,0
20260531,/convenio-limpieza-catalunya.html,Organic Search,1,1,1,0
20260531,/convenio-limpieza-catalunya.html,Unassigned,1,1,2,215.442498
20260531,/convenio-limpieza-edificios-locales.html,Direct,1,1,1,0
20260531,/convenio-limpieza-madrid.html,Direct,1,1,1,0
20260531,/convenio-limpieza-madrid.html,Organic Search,1,1,1,0
20260531,/convenio-limpieza-madrid.html,Unassigned,1,1,0,0
20260531,/convenio-limpieza-valencia.html,Unassigned,1,1,0,0
20260531,/convenio-limpieza-zaragoza.html,Organic Search,1,1,1,0
20260531,/convenio-limpieza-zaragoza.html,Unassigned,1,1,0,0
20260531,/convenio-oficinas-valencia.html,Organic Search,1,1,1,90.199814
20260531,/convenios.html,Organic Search,1,1,1,902.958394
20260531,/convenios.html,Unassigned,1,1,1,637.4145
20260531,/pedir-banda-salarial-empresa-2026.html,Organic Search,1,1,1,233.213873
20260531,/pedir-banda-salarial-empresa-2026.html,Unassigned,1,1,0,0
20260531,/plantilla-solicitar-nominas.html,Organic Search,1,1,1,0
20260531,/plantillas-transparencia-retributiva-2026.html,Unassigned,1,1,1,0
20260531,/salario-minimo-interprofesional-2026.html,Organic Search,1,1,1,261.724996
20260531,/tramos-irpf-2026.html,Organic Search,1,1,1,535.158236
20260531,/tramos-irpf-2026.html,Unassigned,1,1,0,0
