date,pagePath,sessionDefaultChannelGroup,sessions,totalUsers,screenPageViews,averageSessionDuration
20260608,/ley-transparencia-salarial-2026.html,Organic Search,15,11,13,193.81004113333333
20260608,/convenio-hosteleria-barcelona.html,Organic Search,12,9,14,426.63030333333336
20260608,/convenio-limpieza-barcelona.html,Organic Search,12,10,11,130.04529441666668
20260608,/convenio-limpieza-bizkaia.html,Organic Search,10,8,10,114.758676
20260608,/,Organic Search,9,8,12,106.78288688888888
20260608,/convenio-limpieza-madrid.html,Organic Search,8,8,11,315.79648675
20260608,/convenio-limpieza-zaragoza.html,Organic Search,7,7,7,171.45713099999998
20260608,/convenio-metal-bizkaia.html,Organic Search,7,6,6,216.74773214285713
20260608,/convenio-hosteleria-bizkaia.html,Organic Search,6,5,6,149.02521733333333
20260608,/convenio-hosteleria-valencia.html,Organic Search,6,6,6,74.971598833333331
20260608,/convenio-limpieza-edificios-locales.html,Organic Search,6,6,7,86.415276
20260608,/convenio-hosteleria-madrid.html,Organic Search,5,4,4,24.1724282
20260608,/convenio-hosteleria-malaga.html,Organic Search,5,4,4,17.9118798
20260608,/convenio-limpieza-asturias.html,Organic Search,5,5,5,28.017730999999998
20260608,/tramos-irpf-2026.html,Organic Search,5,5,4,336.06938279999997
20260608,/convenio-hosteleria-baleares.html,Organic Search,4,3,3,41.38165375
20260608,/convenio-hosteleria-girona.html,Organic Search,4,4,4,225.806226
20260608,/convenio-limpieza-valencia.html,Organic Search,4,3,4,26.92314225
20260608,/convenio-hosteleria-tarragona.html,Organic Search,3,3,4,59.513929666666662
20260608,/convenio-limpieza-malaga.html,Organic Search,3,3,3,62.927073
20260608,/convenio-limpieza-murcia.html,Organic Search,3,3,3,26.655571333333331
20260608,/convenio-oficinas-valencia.html,Organic Search,3,2,2,64.926981666666663
20260608,/convenio-hosteleria-baleares.html,Direct,2,2,2,867.8118835
20260608,/convenio-hosteleria-barcelona.html,Direct,2,2,3,467.830007
20260608,/convenio-limpieza-catalunya.html,Organic Search,2,2,3,155.493346
20260608,/convenio-limpieza-sevilla.html,Organic Search,2,1,3,1.987401
20260608,/convenios.html,Organic Search,2,2,2,21.155328
20260608,/pedir-banda-salarial-empresa-2026.html,Organic Search,2,2,2,181.296766
20260608,/plantillas-transparencia-retributiva-2026.html,Organic Search,2,2,2,20.9294345
20260608,/,Direct,1,1,1,34.127076
20260608,/construccion-estatal-suelo-salarial.html,Organic Search,1,1,1,102.277255
20260608,/convenio-construccion-bizkaia.html,Organic Search,1,1,1,241.30102
20260608,/convenio-hosteleria-cadiz.html,Direct,1,1,1,0
20260608,/convenio-hosteleria-cadiz.html,Organic Search,1,1,1,0
20260608,/convenio-hosteleria-maresme.html,Organic Search,1,1,3,2691.136807
20260608,/convenio-hosteleria-sevilla.html,Direct,1,1,1,8.210359
20260608,/convenio-hosteleria-sevilla.html,Organic Search,1,1,1,97.259527
20260608,/convenio-hosteleria-valencia.html,Referral,1,1,1,854.236765
20260608,/convenio-hosteleria-zaragoza.html,Organic Search,1,1,1,0
20260608,/convenio-limpieza-bizkaia.html,Direct,1,1,1,0
20260608,/convenio-limpieza-valencia.html,Direct,1,1,1,0
20260608,/convenio-oficinas-valencia.html,Direct,1,1,1,1.897432
20260608,/ley-transparencia-salarial-2026.html,Direct,1,1,1,855.798536
20260608,/ley-transparencia-salarial-2026.html,Referral,1,1,1,723.102774
20260608,/plantilla-calcular-brecha-salarial-empresa.html,Organic Search,1,1,1,811.131959
20260608,/plantilla-reclamar-atrasos-convenio-salarial.html,Organic Search,1,1,1,0
20260608,/plantilla-solicitar-informacion-salarial-rrhh.html,Organic Search,1,1,1,96.07276
20260608,/reclamar-diferencias-salariales-convenio.html,Organic Search,1,1,1,5.27094
20260608,/salario-minimo-interprofesional-2026.html,Organic Search,1,1,1,187.333199
