date,pagePath,sessionDefaultChannelGroup,sessions,totalUsers,screenPageViews,averageSessionDuration
20260617,/convenio-limpieza-edificios-locales.html,Organic Search,21,21,21,69.981016476190476
20260617,/convenio-hosteleria-baleares.html,Organic Search,11,10,11,14.520570818181818
20260617,/convenio-hosteleria-barcelona.html,Organic Search,8,5,11,285.656500875
20260617,/convenio-limpieza-bizkaia.html,Organic Search,8,8,9,153.2893455
20260617,/convenio-hosteleria-bizkaia.html,Organic Search,7,6,6,38.865154714285715
20260617,/convenio-hosteleria-valencia.html,Organic Search,7,5,5,0
20260617,/convenio-limpieza-barcelona.html,Organic Search,7,7,7,47.048897428571429
20260617,/convenio-limpieza-edificios-locales.html,Unassigned,7,7,1,0
20260617,/convenio-limpieza-asturias.html,Organic Search,6,5,6,1.0720151666666666
20260617,/convenio-limpieza-madrid.html,Organic Search,6,6,5,24.4180025
20260617,/,Unassigned,5,5,7,33.8853602
20260617,/convenio-hosteleria-tarragona.html,Organic Search,5,5,5,69.0415156
20260617,/convenio-hosteleria-zaragoza.html,Organic Search,5,5,5,35.5879002
20260617,/convenio-hosteleria-madrid.html,Organic Search,4,4,4,195.7831755
20260617,/convenio-hosteleria-sevilla.html,Organic Search,4,4,5,60.70324525
20260617,/convenio-hosteleria-zaragoza.html,Unassigned,4,4,1,27.548649
20260617,/convenio-limpieza-barcelona.html,Unassigned,4,4,1,1.41241725
20260617,/convenio-limpieza-bizkaia.html,Unassigned,4,4,2,0
20260617,/convenio-limpieza-catalunya.html,Organic Search,4,3,3,35.98839
20260617,/convenio-limpieza-madrid.html,Direct,4,4,4,0
20260617,/convenio-limpieza-madrid.html,Unassigned,4,4,1,0
20260617,/convenio-limpieza-valencia.html,Organic Search,4,4,4,43.8402195
20260617,/convenio-limpieza-zaragoza.html,Organic Search,4,4,4,107.06396875
20260617,/,Organic Search,3,3,2,110.17624766666667
20260617,/convenio-hosteleria-baleares.html,Unassigned,3,3,0,17.161390666666666
20260617,/convenio-hosteleria-granada.html,Organic Search,3,3,3,23.222364333333331
20260617,/convenio-hosteleria-granada.html,Unassigned,3,3,0,0
20260617,/convenio-limpieza-malaga.html,Organic Search,3,3,3,13.352289333333333
20260617,/convenio-limpieza-sevilla.html,Organic Search,3,2,2,0
20260617,/plantilla-reclamar-grupo-profesional-superior.html,Organic Search,3,3,3,400.26061200000004
20260617,/convenio-hosteleria-bizkaia.html,Unassigned,2,1,1,21.669797
20260617,/convenio-hosteleria-girona.html,Organic Search,2,2,2,180.122028
20260617,/convenio-hosteleria-malaga.html,Organic Search,2,2,2,0
20260617,/convenio-hosteleria-malaga.html,Unassigned,2,2,1,0
20260617,/convenio-hosteleria-sevilla.html,Unassigned,2,2,0,0
20260617,/convenio-hosteleria-tarragona.html,Unassigned,2,2,0,3.5143025
20260617,/convenio-hosteleria-valencia.html,Direct,2,2,2,0
20260617,/convenio-hosteleria-valencia.html,Unassigned,2,2,0,0
20260617,/convenio-limpieza-asturias.html,Unassigned,2,2,1,0
20260617,/convenio-limpieza-catalunya.html,Unassigned,2,2,0,0
20260617,/convenio-limpieza-edificios-locales.html,Direct,2,2,2,5.868808
20260617,/convenio-oficinas-valencia.html,Organic Search,2,2,2,0
20260617,/convenio-oficinas-valencia.html,Unassigned,2,2,0,0
20260617,/convenio-tecnicos-espectaculos.html,Organic Search,2,1,3,0
20260617,/ley-transparencia-salarial-2026.html,Unassigned,2,1,3,399.594409
20260617,/reclamar-diferencias-salariales-convenio.html,Organic Search,2,2,1,0
20260617,/tramos-irpf-2026.html,Organic Search,2,2,2,11.916462
20260617,/convenio-construccion-bizkaia.html,Organic Search,1,1,1,28.423475
20260617,/convenio-construccion-bizkaia.html,Unassigned,1,1,0,0
20260617,/convenio-hosteleria-baleares.html,Direct,1,1,1,0
20260617,/convenio-hosteleria-barcelona.html,Unassigned,1,1,0,0
20260617,/convenio-hosteleria-bizkaia.html,Direct,1,1,1,0
20260617,/convenio-hosteleria-cadiz.html,AI Assistant,1,1,1,0
20260617,/convenio-hosteleria-granada.html,Referral,1,1,1,0
20260617,/convenio-hosteleria-malaga.html,Direct,1,1,1,0
20260617,/convenio-hosteleria-maresme.html,Direct,1,1,1,0
20260617,/convenio-limpieza-barcelona.html,Direct,1,1,2,23.474575
20260617,/convenio-limpieza-laspalmas.html,Unassigned,1,1,1,1475.233854
20260617,/convenio-limpieza-malaga.html,Direct,1,1,1,0
20260617,/convenio-limpieza-murcia.html,Organic Search,1,1,1,265.911493
20260617,/convenio-limpieza-murcia.html,Unassigned,1,1,0,0
20260617,/convenio-metal-bizkaia.html,Organic Search,1,1,2,223.644421
20260617,/convenios.html,Organic Search,1,1,0,754.056466
20260617,/convenios.html,Unassigned,1,1,1,4.683029
20260617,/ley-transparencia-salarial-2026.html,Direct,1,1,1,0
20260617,/ley-transparencia-salarial-2026.html,Organic Search,1,1,1,0
20260617,/pedir-banda-salarial-empresa-2026.html,Unassigned,1,1,1,744.905195
20260617,/plantilla-reclamar-absorcion-complementos-smi.html,Organic Search,1,1,1,0
20260617,/plantilla-reclamar-absorcion-complementos-smi.html,Unassigned,1,1,1,0
20260617,/plantilla-reclamar-atrasos-convenio-salarial.html,Unassigned,1,1,0,0
20260617,/plantillas-transparencia-retributiva-2026.html,Organic Search,1,1,0,764.138276
20260617,/reclamar-diferencias-salariales-convenio.html,Unassigned,1,1,0,0
20260617,/tramos-irpf-2026.html,Unassigned,1,1,0,0
